Sentence,Truth,Prediction,W_error_rate,Bleu_score,Correction
Chúng ta là bạn cũ,Ba buôi đâng xơ̆,bơ̆n la 'ban kră .,,,bơ̆n la đôi tương 
Nó rất khỏe,Hơ jăng tơ pă,hăp tơpă pran .,,,hơ adrin . 
Nhà đông người,Hnam lư bơngai,hnam lư bơngai .,,,hnam lư bơngai 
Nó cao hơn tôi,Hơ kơ jung loi kơ ĭnh,hăp yơl loi inh .,,,hơ dêh loi minh inh 
Nó cao bằng tôi,Hơ kơ jung dang ĭnh,hăp c ao inh .,,,hơ 'yoh 
Nó thấp hơn tôi,Hơ kơđeh loi kơ ĭnh,hăp kơđeh loi inh .,,,hơ kơđeh loi 
Tôi cao nhất lớp,ĭnh kơ jung glŏh loi lơp,inh kơjung loi jĕl .,,,inh kơjung loi lơ̆p 
Nó kém tôi ba tuổi,Hơ ala ĭnh pêng xơhnăm,hăp 'biê̆ loi inh pêng sơnăm .,,,hơ 'yung minh inh 
Nó ít tuổi hơn tôi,Hơ 'biê̆ xơhnăm loi ĭnh,hăp 'biê̆ sơnăm loi inh .,,,hơ 'yung sơnăm mă minh 
Nó ít tuổi nhất,Hơ bơngai xơhnăm gloh ken,hăp 'biê̆ sơnăm loi .,,,hơ yoh . 
Nó cao hơn tôi một gang (tay),Hơ đuô̆i loi ĭnh mĭnh xơđa,hăp yơl loi inh minh gang ( ti ) .,,,hơ dêh loi minh inh . 
"Tiền nó có, vàng nó cũng có",Hơ bơngai bơ drŏng,"jên hăp 'nhăt , bia hăp hơdơi ơĭ .",,,"jên hơ ơĭ , bia pơgloh "
Cô ấy không nuôi con,Dŭch 'nŏh byơ̆h rong kon,duch ơ̆i bĭ rong kon .,,,duch bĭ kon 
"Việc nhà, cô ấy không làm",Kơ drong ĭnh hnam koă pơm,"tơdrong hnam , duch ơ̆i bĭ pơm .",,,"tơdrong hnam , bĭ pơm "
Ai nó cũng thương,Hơ ba ba kmăng mơ nat,bu hăp hơdơi wă .,,,bu kung 
"Dân bản, ai cũng tốt",Kon pơlĕi đĭ đăng bu kung lâng liêm,"nă ma , bu kung đĕi .",,,nă ma 
"Con gái ở đây, cô nào cũng đẹp","Hăn âu, adrŭh ma như kung liêm","kon kơdiŏng wơ̆i tơ-ơ̆u , duch mă như kung liêm .",,,kon kơdiŏng uch 
"Rượu cần, thứ nào cũng ngon",Chơdrô tôm ma như kung nham,"sơdrô triêng , thư̆ mă như kung nham .",,,"sơdrô triêng , mă như kung ăn nă ma kung . "
Ai ?,Ba,bu ? .,,,bu yưng ? 
Anh hỏi ai ?,'nhŏng pĭnh bu ?,'nhŏng apinh bu ? .,,,'nhŏng 'bơ̆l et hơleh ? 
Ai bảo anh thế ?,By khan 'nhŏng lĕi ?,bu pơđam ăn 'nhŏng tơnglơ̆i ? .,,,bu alê̆ gô 'nhŏng yơh ? 
Anh đi bao giờ ?,'nhŏng năm lơ như,'nhŏng năm lanhư ? .,,,'nhŏng năm lanhư ? 
Bao giờ anh đi ?,lanhư 'nhŏng năm,layơ 'nhŏng năm ? .,,,lanhư 'nhŏng năm ? 
Anh đi chơi không ?,'nhŏng hăn vă năm ngôi,'nhŏng năm sơhmanh bĭ ? .,,,'nhŏng năm sơhmanh ĕ 
Anh ăn cơm chưa ?,'nhŏng tam xa,'nhŏng sa ngoh đim ? .,,,'nhŏng oh yơh ? 
Nhà có mấy người ?,Hnam dôm 'nâu,hnam ơĭ dôm bơngai ? .,,,hnam ơĭ dôm yơ ? 
Bắn được bao nhiêu con ?,Rôp dôm tŏ kon,prah đơ̆i dôm kon ? .,,,prah đơ̆i dôm tŏ kon ? 
Anh đi đâu ?,'nhŏng năm tơ như,'nhŏng năm tơyơ ? .,,,'nhŏng năm tơnhư ? 
Nó nằm chỗ nào ?,Hơ 'bĭch hăn như ?,hăp 'bich hăn như ? .,,,hơ uĕi hăn như ? 
Anh tìm cái gì ?,'nhŏng chă yư̆ng,'nhŏng chă yưng ? .,,,'nhŏng yưng ? 
Cái gì thế ?,yư̆ng 'nŏh,yưng tơnglơ̆i ? .,,,yưng ? 
Anh đi chơi hay ở nhà ?,"'Nhŏng oĕi hnam, hăm vă năm ngôi",'nhŏng năm sơhmanh liêm lơ̆m hnam ? .,,,'nhŏng năm sơhmanh tơ hnam bơ̆n ? 
Anh đi hay tôi đi ?,'Nhŏng năm lăng ĭnh năm,'nhŏng năm thoi inh năm ? .,,,'nhŏng năm tiê̆ 'yem năm năm ? 
Có ai hỏi gì tôi không ?,Haŭ ơ̆i bu pĭnh ĭnh,ơĭ bu apinh yưng inh bĭ ? .,,,Ơĭ bu 'nĕi yưng ? 
Có ai đi chưa ?,Tam bu năm,ơĭ bu năm đim ? .,,,Ơĭ bu 'nĕi arĕ năm đim ? 
Cô ấy hát hay quá!,Duch 'nŏh jŏh dê̆ tơpă,duch 'noh oh liêm hluôi ! .,,,duch pơđam liêm ! 
Hoa đẹp làm sao!,Pơkao 'nâu liêm dêh,pơkau liêm diong ! .,,,pơkau liêm 
Chúc mừng năm mới!,Drơng 'yŏk xơ hnăm 'nao,hưch hiăn đăm 'nau ! .,,,hưch hanh anao ! 
Ước gì cô ấy là vợ tôi!,Drơn la như duch 'nŏh kơdyŏng ĭnh ,tep hlơ̆k yưng duch 'noh la kơdiŏng inh ! .,,,apo 
Mong anh khỏe mạnh!,Vă 'nhŏng grăng pran ling lang,dih 'nhŏng alưng liêm ! .,,,'yem kon liêm yơh ! 
Anh đi đường bình an nhé!,'nhŏng năm mă lâng hŏ,'nhŏng năm trong binh an yơh ! .,,,'nhŏng năm ngŏ hnhĕi jư vĕi an toan 
Ăn đi!,Xa bĕ,sa năm ! .,,,sa năm ! 
Cứu tôi với!,Mơ koăng dăng ĭnh,đŏng inh sơm ! .,,,đŏng akău soh 
Hãy nhớ lấy lời tôi!,"'yŏk, kuôt 'bâr ĭnh khan",nĕ 'blŏk 'yŏk bơ̆l inh ! .,,,"nĕ 'blŏk , 'blŏk 'yŏk lưk lương "
Hãy tha thứ cho tôi!,Tơ nglaih yua ăn kơ ĭnh,nĕ dih ăn inh ! .,,,nĕ pă ăn bơ̆n khĭ 
"Tiến lên, anh em ơi!","Dŭk ti, 'nhŏng ŏh bân","năm suôn , 'nhŏng oh trương ! .",,,năm tơmưt kon mon tŭk trương 
Giơ tay lên!,Xro ti,jơro ti suôn ! .,,,jơro ti 
Đừng quên tôi!,Nĕ hyơ̆h ĭnh,nĕ hyơt inh ! .,,,"'blŏk , sem inh "
Chớ tin nó!,Nĕ lui hơ,nĕ tin hơ ! .,,,nĕ pă tin lưng 
Tôi thấy nó đang ăn,ĭnh 'bŏh hơ anơ̆ xa,inh 'boh hơ atung sa .,,,inh 'boh 
Tôi gọi nó về,ĭnh krao hơ xưt,inh krau hăp wih .,,,inh krau kơ dih sưt 
Cha tôi đi rừng còn tôi ở nhà,"‘Bă ĭnh năm tơbri, ĭnh oĕi hnam",'bă inh năm bri ară bơ̆n lơ̆m hnam .,,,'bă inh năm tơ bri ară lư kơ inh 
Nếu trời mưa thì tôi không đi,"Plănh 'mi, ĭnh bĭ năm",mơtơ̆ng plĕnh 'mi thoi inh bĭ năm .,,,"tơ̆ng plĕnh jơnang năm tơkan , bơ̆n khĭ . "
Vì nó nên tôi bắn trượt,"yua hơ, inh kơ lŭng",yuô hơ kơna inh prah lơhach .,,,"yuô hơ jơh ơ̆p hơleh , khul thương vu "
"Người nào làm, người ấy ăn","Bu pơm, hơ pŭ","bơngai mă như pơm , bơngai 'noh sa .",,,"bơngai mă yơ pơm , bơngai năm . "
"Anh đi đâu, tôi đi đấy","'Nhŏng năm tơ như, inh năm trŭh toĕi","'nhŏng năm tơyơ năm , inh năm 'noh .",,,"'nhŏng năm năm tơ chơ̆ năm , inh năm . "
"Mẹ bảo sao, con nghe vậy","Mĭ khan yư̆ ng, kon pơm lơĕi","mĭ pơđam ăn sơnglŏng , kon kơtơ̆ng lơ̆i .",,,"mĭ đe hơ-yoh , kon kơtơ̆ng sơ̆ . "
"Tuy trời lạnh, tôi vẫn đi làm",'Naĭ chơ hngĕi ĭnh văn năm pơm,"trương plĕnh tŏ , inh ară lơm pơm .",,,"'năr plĕnh , bơ̆n ară lơ̆m pơm "
"Bao giờ anh đi, bấy giờ tôi cũng đi","La như 'nhŏng năm, ŏh kŭng năm","layơ 'nhŏng năm , layơ inh kung năm .",,,"layơ năm năm ayô lơ̆m 'noh , lanhư kông kung năm . "
Thà nhịn chớ không ăn cái ấy,Xa pơm yư̆ng mơ 'nŏh.,ba ơ̆t nĕ bĭ sa hlak 'noh .,,,'ba đak bơ̆n nĕ pă sa . 
Thà chết còn hơn,Luôch lê̆ yă loi,ba luôch ară loi .,,,'ba luôch loi . 
"Mẹ càng chiều, con càng hư","Mĭ mêm dang như, kon hư dang ĕi","mĭ kang kơsơ̆ , kon kang .",,,mĭ kang năm tơ bơ̆l . 
Trời ngày càng ấm,"'năr ayư̆m, ayư̆ng",plĕnh năr kang tơnŏ .,,,'năr kang 
Tôi không biết đàn,Ing bĭ gơh tanh,inh pă lê̆ đàn .,,,inh bĭ alê̆ kơtum 
Trời không mưa,plănh khĭ 'mi,plĕnh bĭ 'mi .,,,plĕnh 'mi 
Cha chưa về,'Bă đim xưh,'bă đim sưt .,,,ơ đim sưt 
Bà chưa đến 80 tuổi,'Bă đim trŭh tơ hngam yĭh xơhnăm,yă đim truh 80 sơnăm .,,,yă đim truh tơhngam jĭt sơnăm 
Việc ấy không phải dễ,Tơdrong 'nŏh pơm chơ bŏ 'buônh,tơdrong 'noh bĭ phai hlău .,,,tơdrong mă lĕi bĭ phai hlău 
Nó không phải là thợ săn,Hơ bĭ lăh chă ayô,hăp bĭ phai la gru .,,,hơ bĭ phai (sa) 
Nó không phải là người tốt,Hơ bơngai klak brư̆,hăp bĭ phai la bơngai đĕi .,,,hơ bĭ phai la bơngai đĕi 
Tôi không nghĩ rằng nó đến,Bu lê̆ hơ trŭh,inh bĭ chro đon akhan hăp truh .,,,inh yơĭ đe adruh năm truh 
Làm gì có chuyện ấy,Pơm yư̆ng ơ̆i tơdrong 'nŏh,pơm yưng ơĭ tơdrong 'noh .,,,pơm yưng ? 
Đâu có chuyện ấy,Bĭ ŏi tơdrong 'nŏh,tơyơ ơĭ tơdrong 'noh .,,,hơ ơĭ tơdrong 'noh 
Lẽ nào nó nói dối,A lê̆ lơ như hơ khan bĭ tơrŏ,lĭ như hơ tơja .,,,yuô như kon druch 
Không thứ gì còn,Bĭ ơ̆i yư̆ng piêu,bĭ tơdrong yưng ară .,,,bĭ ơĭ tơdrong yưng ? 
Chẳng phải ai cũng đồng ý.,ơ̆i kơ tâng ba kŭng adrĭng 'boi,kuă phai bu kung đông yê .,,,kuă phai bu kung gô đêch 
