Sentence,Truth,Prediction,W_error_rate,Bleu_score
Trời ngày càng ấm,"'năr ayư̆m, ayư̆ng",plĕnh năr kang tơnŏ .,,
Tôi không biết đàn,Ing bĭ gơh tanh,inh pă lê̆ đàn .,,
Trời không mưa,plănh khĭ 'mi,plĕnh bĭ 'mi .,,
Cha chưa về,'Bă đim xưh,'bă đim sưt .,,
Bà chưa đến 80 tuổi,'Bă đim trŭh tơ hngam yĭh xơhnăm,yă đim truh 80 sơnăm .,,
Việc ấy không phải dễ,Tơdrong 'nŏh pơm chơ bŏ 'buônh,tơdrong 'noh bĭ phai hlău .,,
Nó không phải là thợ săn,Hơ bĭ lăh chă ayô,hăp bĭ phai la gru .,,
Nó không phải là người tốt,Hơ bơngai klak brư̆,hăp bĭ phai la bơngai đĕi .,,
Tôi không nghĩ rằng nó đến,Bu lê̆ hơ trŭh,inh bĭ chro đon akhan hăp truh .,,
Làm gì có chuyện ấy,Pơm yư̆ng ơ̆i tơdrong 'nŏh,pơm yưng ơĭ tơdrong 'noh .,,
Đâu có chuyện ấy,Bĭ ŏi tơdrong 'nŏh,tơyơ ơĭ tơdrong 'noh .,,
Lẽ nào nó nói dối,A lê̆ lơ như hơ khan bĭ tơrŏ,lĭ như hơ tơja .,,
Không thứ gì còn,Bĭ ơ̆i yư̆ng piêu,bĭ tơdrong yưng ară .,,
Chẳng phải ai cũng đồng ý.,ơ̆i kơ tâng ba kŭng adrĭng 'boi,kuă phai bu kung đông yê .,,
